Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,
Africa Eastern and Southern,AFE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,40.48845242,40.4190805,40.44554067,40.41381084,40.35057822,40.35759535,40.35809917,40.37770829,40.4163162,40.50701594,40.62690857,40.64909145,40.67083439,40.68978683,40.74386599,40.73973543,40.76901372,40.86254641,40.83305019,40.84133265,40.98360081,41.027839,41.09557393,41.14191715,41.35132237,41.44747866,41.49214355,41.56416117,41.68178144,41.64867643,41.77689645,41.89719198,41.34045179,41.47394504,41.5681135,41.63545124,41.77722773,41.92826939,42.14242352,42.32975593,42.39118598,42.45493309,42.64706557,42.32260261,42.419528,42.55024244,42.70441806,42.82018449,43.08573376,43.30209258,43.56252636,45.77870427,45.88105278,45.97804447,46.05061791,46.16166944,46.24605944,46.36955817,46.41917895,46.45697555,46.51056622,46.54121001,,2024
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,57.87835579,57.95501587,58.03167594,58.11600202,58.12366803,58.1926621,58.22945893,58.23099213,58.25552336,58.27085537,58.31685142,58.33524984,58.33708968,58.3387762,58.3387762,58.33831624,58.33831624,58.33831624,58.33678304,58.33678304,58.34291584,58.34444904,58.34444904,58.34444904,58.34444904,58.34444904,58.33065023,58.32298422,58.32298422,58.32298422,58.30765221,58.30765221,58.16046487,57.97494749,57.89828741,57.88908821,57.94734986,58.05927357,57.89982062,57.94581666,57.94734986,57.93968385,58.08380479,58.15126566,58.13440044,58.12366803,58.12980084,58.13286724,58.13286724,58.13440044,58.13133404,58.12980084,58.12366803,58.12366803,58.12366803,58.12366803,58.12366803,58.27698818,58.27698818,58.74154823,58.74154823,58.74154823,58.43950754,
Africa Western and Central,AFW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,32.9064672,32.94823922,32.99310292,33.03077915,33.07790557,33.10353437,33.11118323,33.23701498,33.26177274,33.18637585,33.21240966,33.23792737,33.25580905,33.2081598,33.29002839,33.37365423,33.3875605,33.44506731,33.54187643,33.66254961,33.65297564,33.73196496,33.82230753,33.92036966,34.03637962,34.15809874,34.17548834,34.31453279,34.32692846,34.67815847,34.84086235,35.1158124,35.39656063,35.73740766,36.23338716,36.46049959,36.63079001,36.67805391,36.93112933,37.05242493,37.23500573,37.37919959,37.57421887,37.53912565,38.24552349,38.27375087,38.49301032,38.64471713,38.80292859,39.00953928,39.13576336,39.44908868,39.74585316,39.92074382,40.21242359,40.30009284,40.47586684,40.80432666,40.94886974,41.12032556,41.37399939,41.43282001,,
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,,36.23726638,36.24368332,36.24127697,36.24769391,36.24528756,36.2517045,36.25731932,36.26373626,36.27737226,36.25972568,36.24127697,36.22363038,36.20518168,36.18753509,36.16988851,35.99101628,35.9733697,35.95492099,35.92925323,35.90679394,35.87711559,35.85866688,35.83700971,35.81455041,35.79690383,35.73032807,35.71268148,35.69503489,35.67658619,35.6589396,35.68059678,35.70305607,35.70225395,35.70225395,35.6862116,35.65172054,35.6541269,35.7046603,35.74797465,35.71268148,35.62605278,35.64450148,35.69343066,35.54183043,35.4399615,35.40306409,35.48969279,35.44958691,35.79850806,35.97497393,36.34876073,36.3383332,36.48672495,36.63591883,36.72816235,36.75623646,36.70891153,36.71933906,36.78190423,36.78832117,36.8308334,36.94714045,36.94794257,
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,44.96350365,44.96350365,45,44.89051095,45.1459854,45.25547445,45.40145985,45.25547445,45.0729927,44.89051095,43.79562044,42.84671533,41.82481752,40.94890511,39.41605839,39.23357664,40.47445255,40.65693431,40.76642336,40.80291971,40.72992701,40.65693431,40.51094891,40.62043796,40.58394161,40.54744526,40.54744526,40.76642336,40.51094891,40.91240876,41.13138686,41.13138686,41.09489051,41.09489051,41.13138686,41.27737226,41.42335766,41.56934307,41.78832117,41.75182482,41.56934307,41.60583942,40.91240876,40.94890511,39.30656934,40.87591241,40.83941606,43.10218978,43.84306569,43.84306569,43.83211679,43.84306569,43.33211679,42.85729927,42.85766423,43.12773723,42.8569708,42.84967153,42.84671533,42.53850365,41.47189781,41.44525547,38.12408759,
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,55.31914894,53.19148936,53.19148936,51.06382979,51.06382979,51.06382979,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.93617021,48.40425532,48.61702128,48.63829787,48.53191489,46.38297872,46.34042553,44.19148936,44.17021277,44.19148936,42.06382979,42.06382979,39.91489362,40.0212766,40,40.0212766,40.04255319,40.04255319,40.07234043,40.00021277,39.95170213,39.90680851,39.90680851,39.87404255,
Arab World,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,27.8459672,27.83857987,27.85922879,27.86341198,27.88414991,27.88503995,27.93924338,27.96736864,28.02735734,28.09624643,28.24755321,28.37616398,28.36282536,28.42317028,28.38863661,28.46509131,28.48333719,28.53335761,28.54848835,28.644524,28.2728954,28.29903953,28.35327875,28.84935495,29.27207558,29.70855272,30.1997853,30.66091663,31.10040211,31.59467865,31.65099167,31.7527187,32.44981701,33.11930783,33.74689849,34.39023972,34.98280454,35.6945683,36.31235419,36.33395742,36.31394877,36.35548545,36.41251632,36.48371847,36.48787073,36.5037353,36.51673508,36.44462074,36.41796387,36.46654914,36.48711852,39.8188551,39.87056975,39.83799962,39.87086341,39.9363859,39.98521538,39.97086029,39.90778713,39.96872861,39.96733662,40.87546713,,
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,2.928752464,2.928752464,2.928752464,2.928752464,2.942833005,2.956913545,2.956913545,2.956913545,2.956913545,2.985074627,2.985074627,2.985074627,2.999155168,3.013235708,3.027316249,3.04139679,3.05547733,3.069557871,3.083638412,3.139960574,3.196282737,3.196282737,3.266685441,3.266685441,3.308927063,3.351168685,3.351168685,3.365249226,3.365249226,4.012954097,4.364967615,4.773303295,4.998591946,5.237961138,5.392847085,5.449169248,5.561813574,5.604055196,7.265558997,7.702055759,7.913263869,7.969586032,7.800619544,7.800619544,7.842861166,7.583779217,7.499295973,7.597859758,5.461841735,5.523796114,5.470290059,5.304139679,5.342157139,5.385806815,5.390030977,5.404111518,5.404111518,5.375246409,5.497043086,5.488594762,5.513397634,5.513397634,5.515399887,
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,50.3633952,49.85365533,49.28398905,48.70738008,48.15306081,47.84904392,47.39411479,47.22310528,46.54600996,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54637537,46.54674077,46.54710618,46.54674077,46.54674077,46.54674077,46.54674077,46.54527915,46.57816559,46.61287906,46.64759253,46.682306,46.71701947,46.75282915,46.78827343,46.8237177,46.85770036,46.89241383,46.92237703,46.95818671,46.99326559,47.0312677,47.17498146,47.31869521,47.47373652,47.55339479,47.49109325,46.42356277,45.43020949,46.13891234,45.79196036,45.58130442,44.92193124,44.19591773,44.12393607,43.43242366,42.9825761,42.36139278,42.60584867,43.00048599,43.10974206,43.42764434,42.43679156,
