Year,Data,Wheat Per capita normalised to 1950
1950,1,
1951,0.820143568,
1952,0.693618374,
1953,0.82971889,
1954,0.824220467,
1955,0.686212477,
1956,0.776865548,
1957,0.522588733,
1958,0.371114689,
1959,0.801019728,
1960,0.723988469,
1961,0.978763831,
1962,0.862431679,
1963,1.050515551,
1964,1.100551784,
1965,1.213851328,
1966,0.835352222,
1967,1.482297707,
1968,0.865405014,
1969,1.662602537,
1970,1.161320269,
1971,0.840069985,
1972,0.889701088,
1973,0.662532348,
1974,1.194959061,
1975,1.126288719,
1976,1.176416031,
1977,1.145567143,
1978,0.899140968,
1979,1.717155337,
1980,1.518079166,
1981,1.002278174,
1982,1.484381854,
1983,0.788088369,
1984,1.838418472,
1985,1.577076142,
1986,1.381627677,
1987,1.365514255,
1988,1.023996088,
1989,1.141845459,
1990,1.147676418,
1991,1.200977704,
1992,0.832175934,
1993,1.151541058,
1994,1.275145095,
1995,0.685722409,
1996,1.247697699,
1997,1.71439669,
1998,1.423651474,
1999,1.572070333,
2000,1.792539414,
2001,1.580316047,
2002,1.717285992,
2003,0.707871103,
2004,1.806292937,
2005,1.495795304,
2006,1.694362405,
2007,0.715896084,
2008,0.87980702,
2009,1.36053263,
2010,1.365420614,
2011,1.690470297,
2012,1.812426133,
2013,1.361575946,
2014,1.48503219,
2015,1.373564336,
2016,1.26866718,
2017,1.78264324,
2018,1.155788305,
2019,0.957034363,
2020,0.777814561,
2021,1.712376683,
2022,1.919201538,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Source: Australian Bureau of Statistics, Release of historic agricultural data and an update on future agricultural data 19/04/2024",,
