Year,Water Charges,Percipitation
2022,3680,478.3
2021,4360,431.8
2020,4850,382.5
2019,5450,398.7
2018,4660,452.1
2017,4580,456.8
2016,3860,398.2
2015,4820,365.4
2014,3450,476.5
2013,3610,512.8
2012,2620,703.2
2011,2660,631.5
2010,2300,512.4
2009,2210,487.3
2008,1980,465.8
2007,2820,456.2
2006,2070,512.7
2005,2220,478.9
2004,3110,421.3
2003,3030,398.6
2002,2840,467.8
2001,2370,556.3
2000,2590,589.4
1999,2510,512.8
1998,3890,487.5
1997,2540,493.2
1996,2880,500.2
1995,2670,445.2
1994,1960,432.9
1993,2120,399.2
1992,1840,412.3
1991,1740,455.3
1990,1580,391.22
